gender,churn,monthly_bill_capped,internet_usage_gb_capped,call_minutes_capped,support_tickets_capped,tenure_months,financial_risk,education_level_encoded,contract_type_encoded,emp_Employed,emp_Retired,emp_Self-Employed,emp_Student,emp_Unemployed,feedback_category,count_billing,count_support,count_helpful,count_poor,count_expensive,count_unreliable,count_happy,count_satisfied,count_drops,count_slow,monthly_income_scaled,age_scaled,anomaly_pay_not_use,anomaly_happy_leaver,anomaly_genz_call_enthusiast,city_Faisalabad,city_Gujranwala,city_Hyderabad,city_Islamabad,city_Karachi,city_Lahore,city_Multan,city_Peshawar,city_Quetta,city_Rawalpindi,city_Sialkot
1,0,10049.0,5.8,52.0,1,91,0,2,1,True,False,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0.5541368421052631,0.7580645161290323,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,2752.0,11.9,22.0,2,91,0,3,1,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.13902105263157893,0.06451612903225806,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,3155.0,40.0,87.0,0,91,0,1,0,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.085,0.4032258064516129,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,5859.0,8.5,147.0,2,90,0,1,1,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.3567368421052632,0.04838709677419355,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,5106.0,3.3,183.0,0,90,0,0,2,True,False,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0.13131578947368422,0.3064516129032258,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,6663.0,23.8,88.0,3,90,0,2,0,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.3296210526315789,0.3709677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,6146.0,18.2,218.0,0,90,0,4,0,False,False,False,False,True,2,0,1,1,0,0,0,0,0,0,0,0.5071684210526316,0.6290322580645161,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,2786.0,2.4,63.0,1,90,0,2,2,False,False,False,True,False,1,0,0,0,0,0,0,0,0,1,0,0.36694736842105263,0.45161290322580644,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,5096.0,28.0,87.0,2,90,0,0,2,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.16901052631578947,0.22580645161290322,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,4939.0,9.2,227.0,0,90,0,1,0,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0,0,0.34023157894736844,0.3709677419354839,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,2120.0,15.3,307.0,1,90,0,2,2,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.13469473684210526,0.12903225806451613,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,6957.0,25.6,108.0,1,90,0,3,2,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0.19814736842105263,0.4032258064516129,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,13776.125,5.8,99.0,1,90,0,0,1,False,False,False,True,False,3,0,0,0,0,0,0,0,0,0,0,0.2923368421052632,0.7419354838709677,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,2312.0,20.4,268.0,0,90,0,3,0,False,False,False,False,True,1,0,0,0,0,0,0,0,0,0,1,0.22028421052631578,0.6774193548387096,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,4911.0,30.8,116.0,1,90,0,3,2,False,True,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0.3434421052631579,0.41935483870967744,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,3417.0,7.4,260.0,2,90,0,2,1,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0.25192631578947366,0.12903225806451613,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,12059.0,12.0,148.0,2,90,0,3,2,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.2102315789473684,0.6290322580645161,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,4597.0,27.5,257.0,1,90,0,2,0,False,False,False,False,True,3,0,0,0,0,0,0,0,0,0,0,0.12977894736842105,0.6129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2235.0,19.8,223.0,0,90,0,1,2,False,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,0.2579157894736842,0.06451612903225806,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,11195.0,18.6,146.0,2,90,0,2,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.13082105263157895,0.7741935483870968,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,3617.0,50.099999999999994,195.0,2,90,0,1,0,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0,1,0.1619157894736842,0.11290322580645161,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,3166.0,23.8,75.0,0,90,0,2,0,False,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,0.2412421052631579,0.7096774193548387,0,0,0,0,0,1,0,0,0,0,0,0,0,0
