age,gender,city,education_level,employment_status,monthly_income,monthly_bill,internet_usage_gb,call_minutes,contract_type,support_tickets,customer_feedback,churn,tenure_months,financial_risk,education_level_encoded,contract_type_encoded,emp_Employed,emp_Retired,emp_Self-Employed,emp_Student,emp_Unemployed,feedback_category,count_billing,count_support,count_helpful,count_poor,count_expensive,count_unreliable,count_happy,count_satisfied,count_drops,count_slow,monthly_income_scaled,age_scaled,anomaly_pay_not_use,anomaly_happy_leaver,anomaly_genz_call_enthusiast
65,1,Multan,Bachelor,Employed,57643.0,10049.0,5.8,52.0,6-Month,1,Coverage is poor in my location,0,91,0,2,1,True,False,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0.5541368421052631,0.7580645161290323,0,0,0
22,0,Peshawar,Master,Employed,18207.0,2752.0,11.9,22.0,6-Month,2,Billing issues occurred multiple times,0,91,0,3,1,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.13902105263157893,0.06451612903225806,0,0,0
43,1,Gujranwala,Secondary,Employed,13075.0,3155.0,40.0,87.0,Monthly,0,Billing issues occurred multiple times,0,91,0,1,0,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.085,0.4032258064516129,0,0,0
21,1,Lahore,Secondary,Employed,38890.0,5859.0,8.5,147.0,6-Month,2,Customer support was helpful,0,90,0,1,1,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.3567368421052632,0.04838709677419355,0,0,0
37,0,Hyderabad,Primary,Employed,17475.0,5106.0,3.3,183.0,12-Month,0,Coverage is poor in my location,0,90,0,0,2,True,False,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0.13131578947368422,0.3064516129032258,0,0,0
41,0,Sialkot,Bachelor,Employed,36314.0,6663.0,23.8,88.0,Monthly,3,Customer support was helpful,1,90,0,2,0,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.3296210526315789,0.3709677419354839,0,0,0
57,0,Multan,PhD,Unemployed,53181.0,6146.0,18.2,218.0,Monthly,0,Customer support was helpful,0,90,0,4,0,False,False,False,False,True,2,0,1,1,0,0,0,0,0,0,0,0.5071684210526316,0.6290322580645161,0,0,0
46,1,Sialkot,Bachelor,Student,39860.0,2786.0,2.4,63.0,12-Month,1,Frequent call drops in my area,0,90,0,2,2,False,False,False,True,False,1,0,0,0,0,0,0,0,0,1,0,0.36694736842105263,0.45161290322580644,0,0,0
32,1,Quetta,Primary,Employed,21056.0,5096.0,28.0,87.0,12-Month,2,Customer support was helpful,0,90,0,0,2,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.16901052631578947,0.22580645161290322,0,0,0
41,1,Rawalpindi,Secondary,Self-Employed,37322.0,4939.0,9.2,227.0,Monthly,0,Too expensive compared to competitors,0,90,0,1,0,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0,0,0.34023157894736844,0.3709677419354839,0,0,0
26,0,Multan,Bachelor,Employed,17796.0,2120.0,15.3,307.0,12-Month,1,Customer support was helpful,0,90,0,2,2,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.13469473684210526,0.12903225806451613,0,0,1
43,1,Gujranwala,Master,Self-Employed,23824.0,6957.0,25.6,108.0,12-Month,1,Billing issues occurred multiple times,0,90,0,3,2,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0.19814736842105263,0.4032258064516129,0,0,0
64,0,Hyderabad,Primary,Student,32772.0,14413.0,5.8,99.0,6-Month,1,Happy with data packages,0,90,0,0,1,False,False,False,True,False,3,0,0,0,0,0,0,0,0,0,0,0.2923368421052632,0.7419354838709677,0,0,0
60,0,Quetta,Master,Unemployed,25927.0,2312.0,20.4,268.0,Monthly,0,Internet speed is very slow,0,90,0,3,0,False,False,False,False,True,1,0,0,0,0,0,0,0,0,0,1,0.22028421052631578,0.6774193548387096,0,0,0
44,1,Karachi,Master,Retired,37627.0,4911.0,30.8,116.0,12-Month,1,Service is unreliable during peak hours,0,90,0,3,2,False,True,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0.3434421052631579,0.41935483870967744,0,0,0
26,0,Multan,Bachelor,Self-Employed,28933.0,3417.0,7.4,260.0,6-Month,2,Billing issues occurred multiple times,0,90,0,2,1,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0.25192631578947366,0.12903225806451613,0,0,1
57,0,Karachi,Master,Employed,24972.0,12059.0,12.0,148.0,12-Month,2,Billing issues occurred multiple times,1,90,0,3,2,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.2102315789473684,0.6290322580645161,0,0,0
56,1,Sialkot,Bachelor,Unemployed,17329.0,4597.0,27.5,257.0,Monthly,1,Satisfied with the service,1,90,0,2,0,False,False,False,False,True,3,0,0,0,0,0,0,0,0,0,0,0.12977894736842105,0.6129032258064516,0,0,0
